epoch,step,train_acc,train_loss,val_acc,val_loss
0,212,,,0.38999998569488525,1.7875820398330688
0,212,0.28029412031173706,1.8848729133605957,,
1,425,,,0.46833333373069763,1.6625456809997559
1,425,0.4651470482349396,1.7551733255386353,,
2,638,,,0.528333306312561,1.5345020294189453
2,638,0.5511764883995056,1.6238222122192383,,
3,851,,,0.5625,1.4162384271621704
3,851,0.5870588421821594,1.4906532764434814,,
4,1064,,,0.5774999856948853,1.297575831413269
4,1064,0.6055882573127747,1.3729528188705444,,
5,1277,,,0.60916668176651,1.2027713060379028
5,1277,0.6294117569923401,1.2766293287277222,,
6,1490,,,0.6258333325386047,1.1148970127105713
6,1490,0.6458823680877686,1.1835695505142212,,
7,1703,,,0.6424999833106995,1.046317219734192
7,1703,0.6569117903709412,1.106696605682373,,
8,1916,,,0.6524999737739563,0.9867425560951233
8,1916,0.6622058749198914,1.0537718534469604,,
9,2129,,,0.6650000214576721,0.9500195384025574
9,2129,0.6760293841362,0.9852569699287415,,
10,2342,,,0.6800000071525574,0.908434271812439
10,2342,0.6854411959648132,0.9277953505516052,,
11,2555,,,0.684166669845581,0.8834267258644104
11,2555,0.6952941417694092,0.8945244550704956,,
12,2768,,,0.6858333349227905,0.8569828271865845
12,2768,0.6976470351219177,0.874976396560669,,
13,2981,,,0.6916666626930237,0.8444288372993469
13,2981,0.6998529434204102,0.8469796180725098,,
14,3194,,,0.6958333253860474,0.8209420442581177
14,3194,0.7180882096290588,0.8128822445869446,,
15,3407,,,0.7066666483879089,0.8089501261711121
15,3407,0.7126470804214478,0.8019322156906128,,
16,3620,,,0.7108333110809326,0.7992609739303589
16,3620,0.7123529314994812,0.7613291144371033,,
17,3833,,,0.7166666388511658,0.7893289923667908
17,3833,0.7250000238418579,0.7533478736877441,,
18,4046,,,0.7258333563804626,0.7795188426971436
18,4046,0.7238235473632812,0.7449356913566589,,
19,4259,,,0.7266666889190674,0.7733140587806702
19,4259,0.730441153049469,0.7157907485961914,,
20,4472,,,0.7308333516120911,0.766316294670105
20,4472,0.7285293936729431,0.6969115734100342,,
21,4685,,,0.7383333444595337,0.7687209844589233
21,4685,0.730441153049469,0.6809520125389099,,
22,4898,,,0.7383333444595337,0.7543743252754211
22,4898,0.7297058701515198,0.6472802758216858,,
23,5111,,,0.7491666674613953,0.7506580352783203
23,5111,0.7397058606147766,0.6311097741127014,,
24,5324,,,0.7541666626930237,0.7429543733596802
24,5324,0.7435294389724731,0.6368917226791382,,
25,5537,,,0.7491666674613953,0.734145998954773
25,5537,0.7408823370933533,0.6258473992347717,,
26,5750,,,0.7549999952316284,0.728508472442627
26,5750,0.745441198348999,0.6223364472389221,,
27,5963,,,0.7458333373069763,0.7316002249717712
27,5963,0.7486764788627625,0.5910127758979797,,
28,6176,,,0.7491666674613953,0.7248981595039368
28,6176,0.751764714717865,0.5850697159767151,,
29,6389,,,0.7566666603088379,0.7238329648971558
29,6389,0.7470588088035583,0.5861043334007263,,
30,6602,,,0.7574999928474426,0.7240604758262634
30,6602,0.7547059059143066,0.559687614440918,,
31,6815,,,0.7574999928474426,0.7232269048690796
31,6815,0.7542647123336792,0.5367968678474426,,
32,7028,,,0.7608333230018616,0.7160726189613342
32,7028,0.7630882263183594,0.5521776080131531,,
33,7241,,,0.7591666579246521,0.719963550567627
33,7241,0.7654411792755127,0.5302714109420776,,
34,7454,,,0.7599999904632568,0.7245250344276428
34,7454,0.7645588517189026,0.5238632559776306,,
35,7667,,,0.7608333230018616,0.7182624340057373
35,7667,0.7676470875740051,0.5298036336898804,,
36,7880,,,0.762499988079071,0.7140160799026489
36,7880,0.767794132232666,0.5115522742271423,,
37,8093,,,0.7641666531562805,0.7231091260910034
37,8093,0.7751470804214478,0.5017037987709045,,
38,8306,,,0.7666666507720947,0.7294105291366577
38,8306,0.7698529362678528,0.49443089962005615,,
39,8519,,,0.7691666483879089,0.7282088398933411
39,8519,0.7707353234291077,0.48218899965286255,,
